x
-1 1
1 2 368
2 2 250
3 1 185
4 1 169
5 1 164
6 1 138
7 1 133
8 1 114
9 1 111
10 1 102
11 0 87
12 0 65
13 0 65
14 0 61
15 0 60
16 0 49
17 0 47
18 0 42
19 0 39
20 0 38
21 0 37
22 0 37
23 0 36
24 0 34
25 0 33
26 0 32
27 0 31
28 0 31
29 0 29
30 0 29
31 0 27
32 0 26
33 0 25
34 0 24
35 0 24
36 0 24
37 0 23
38 0 23
39 0 23
40 0 22
41 0 22
42 0 21
43 0 21
44 0 20
45 0 20
46 0 20
47 0 20
48 0 19
49 0 19
50 0 18
51 0 18
52 0 17
53 0 17
54 0 17
55 0 16
56 0 16
57 0 16
58 0 15
59 0 15
60 0 15
61 0 15
62 0 15
63 0 15
64 0 15
65 0 15
66 0 15
67 0 15
68 0 14
69 0 14
70 0 14
71 0 14
72 0 14
73 0 13
74 0 13
75 0 13
76 0 13
77 0 13
78 0 13
79 0 13
80 0 13
81 0 13
82 0 13
83 0 12
84 0 12
85 0 12
86 0 12
87 0 12
88 0 12
89 0 12
90 0 12
91 0 11
92 0 11
93 0 11
94 0 11
95 0 11
96 0 11
97 0 11
98 0 10
99 0 10
100 0 10
101 0 9
102 0 9
103 0 9
104 0 9
105 0 9
106 0 9
107 0 9
108 0 9
109 0 8
110 0 8
111 0 8
112 0 8
113 0 8
114 0 8
115 0 8
116 0 8
117 0 8
118 0 8
119 0 8
120 0 8
121 0 8
122 0 8
123 0 8
124 0 8
125 0 8
126 0 8
127 0 8
128 0 8
129 0 8
130 0 8
131 0 7
132 0 7
133 0 7
134 0 7
135 0 7
136 0 7
137 0 7
138 0 7
139 0 7
140 0 7
141 0 7
142 0 7
143 0 7
144 0 7
145 0 7
146 0 7
147 0 7
148 0 7
149 0 7
150 0 7
151 0 7
152 0 7
153 0 7
154 0 7
155 0 7
156 0 7
157 0 7
158 0 6
159 0 6
160 0 6
161 0 6
162 0 6
163 0 6
164 0 6
165 0 6
166 0 6
167 0 6
168 0 6
169 0 6
170 0 6
171 0 6
172 0 6
173 0 6
174 0 6
175 0 6
176 0 6
177 0 6
178 0 6
179 0 6
180 0 5
181 0 5
182 0 5
183 0 5
184 0 5
185 0 5
186 0 5
187 0 5
188 0 5
189 0 5
190 0 5
191 0 5
192 0 5
193 0 5
194 0 5
195 0 5
196 0 5
197 0 5
198 0 5
199 0 5
200 0 5
201 0 5
202 0 5
203 0 5
204 0 5
205 0 5
206 0 5
207 0 5
208 0 5
209 0 5
210 0 5
211 0 5
212 0 5
213 0 5
214 0 5
215 0 5
216 0 5
217 0 5
218 0 5
219 0 5
220 0 5
221 0 5
222 0 5
223 0 5
224 0 5
225 0 5
226 0 5
227 0 5
228 0 4
229 0 4
230 0 4
231 0 4
232 0 4
233 0 4
234 0 4
235 0 4
236 0 4
237 0 4
238 0 4
239 0 4
240 0 4
241 0 4
242 0 4
243 0 4
244 0 4
245 0 4
246 0 4
247 0 4
248 0 4
249 0 4
250 0 4
251 0 4
252 0 4
253 0 4
254 0 4
255 0 4
256 0 4
257 0 4
258 0 4
259 0 4
260 0 4
261 0 4
262 0 4
263 0 4
264 0 4
265 0 4
266 0 4
267 0 4
268 0 4
269 0 4
270 0 4
271 0 4
272 0 4
273 0 4
274 0 4
275 0 4
276 0 4
277 0 4
278 0 4
279 0 4
280 0 4
281 0 4
282 0 3
283 0 3
284 0 3
285 0 3
286 0 3
287 0 3
288 0 3
289 0 3
290 0 3
291 0 3
292 0 3
293 0 3
294 0 3
295 0 3
296 0 3
297 0 3
298 0 3
299 0 3
